sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 732","Beach Road","732 Beach Road","Browns Bay","Auckland","$3,055,000","$3,050,000","1970-1979","1500","0.4798","$1,300,000","1 Jan 1900"
" 740","Beach Road","740 Beach Road","Browns Bay","Auckland","$1,300,000","$920,000","1970-1979","640","0.1038","$915,000","22 Jan 2007"
" 741","Beach Road","741 Beach Road","Browns Bay","Auckland","$2,150,000","$1,600,000","1980-1989","548","0.1789","$550,000","10 Mar 1994"
" 742","Beach Road","742 Beach Road","Browns Bay","Auckland","$1,950,000","$920,000","1970-1979","730","0.1038","$285,000","10 Aug 1993"
" 743","Beach Road","743 Beach Road","Browns Bay","Auckland","$595,000","$590,000","1980-1989","320","0.085","$230,000","18 Jun 1998"
" 744","Beach Road","744 Beach Road","Browns Bay","Auckland","$1,275,000","$970,000","1980-1989","560","0.1038","$370,000","1 Dec 1994"
" 1/ 745","Beach Road","1/ 745 Beach Road","Browns Bay","Auckland","$1,575,000","$1,300,000","1980-1989","1140","0","$720,000","7 Apr 2009"
" 2/ 745","Beach Road","2/ 745 Beach Road","Browns Bay","Auckland","$550,000","$370,000","1980-1989","305","0","$447,000","15 Sep 1994"
" 3/ 745","Beach Road","3/ 745 Beach Road","Browns Bay","Auckland","$550,000","$360,000","1980-1989","300","0","",""
" 4/ 745","Beach Road","4/ 745 Beach Road","Browns Bay","Auckland","$570,000","$385,000","1980-1989","312","0","",""
" 746","Beach Road","746 Beach Road","Browns Bay","Auckland","$975,000","$970,000","1970-1979","420","0.1038","$170,000","23 Dec 1999"
" 747","Beach Road","747 Beach Road","Browns Bay","Auckland","$1,005,000","$1,000,000","Mixed/Remod","350","0.1104","$270,000","1 Jan 1900"
" 748","Beach Road","748 Beach Road","Browns Bay","Auckland","$3,850,000","$1,925,000","1980-1989","1830","0.2076","$995,000","5 Feb 1999"
" 749","Beach Road","749 Beach Road","Browns Bay","Auckland","$1,100,000","$1,000,000","Mixed/Remod","530","0.1103","$674,000","4 Aug 2011"
" 751","Beach Road","751 Beach Road","Browns Bay","Auckland","$1,005,000","$1,000,000","1970-1979","460","0.1029","$340,000","20 May 1993"
" 752","Beach Road","752 Beach Road","Browns Bay","Auckland","$1,725,000","$1,125,000","1970-1979","466","0.1038","$1,065,000","16 Jan 2004"
" 753","Beach Road","753 Beach Road","Browns Bay","Auckland","$1,450,000","$840,000","Mixed/Remod","750","0.1029","$570,000","13 May 1993"
" 755","Beach Road","755 Beach Road","Browns Bay","Auckland","$590,000","$560,000","1980-1989","70","0.1029","$380,000","13 Jan 2006"
" 757","Beach Road","757 Beach Road","Browns Bay","Auckland","$860,000","$570,000","1980-1989","360","0.1029","$330,000","1 Jan 1900"
" 1/ 760","Beach Road","1/ 760 Beach Road","Browns Bay","Auckland","$620,000","$460,000","1970-1979","60","0","$240,000","21 Oct 2003"
" 2/ 760","Beach Road","2/ 760 Beach Road","Browns Bay","Auckland","$540,000","$430,000","1970-1979","50","0","$200,000","22 Sep 2003"
" 3/ 760","Beach Road","3/ 760 Beach Road","Browns Bay","Auckland","$540,000","$430,000","1970-1979","50","0","$220,000","1 Sep 2005"
" 761","Beach Road","761 Beach Road","Browns Bay","Auckland","$3,025,000","$2,300,000","2000-2009","710","0.1908","$705,000","19 Feb 2003"
" 1/ 762","Beach Road","1/ 762 Beach Road","Browns Bay","Auckland","$510,000","$350,000","1970-1979","70","0","$140,000","1 Jan 1900"
" 10/ 762","Beach Road","10/ 762 Beach Road","Browns Bay","Auckland","$530,000","$320,000","1970-1979","70","0","$241,000","11 Oct 2005"
" 11/ 762","Beach Road","11/ 762 Beach Road","Browns Bay","Auckland","$540,000","$400,000","1970-1979","70","0","$470,000","25 Feb 2016"
" 12/ 762","Beach Road","12/ 762 Beach Road","Browns Bay","Auckland","$550,000","$380,000","1970-1979","70","0","$309,500","4 Apr 2011"
" 2/ 762","Beach Road","2/ 762 Beach Road","Browns Bay","Auckland","$510,000","$320,000","1970-1979","70","0","$210,000","23 Dec 2004"
" 3/ 762","Beach Road","3/ 762 Beach Road","Browns Bay","Auckland","$530,000","$320,000","1970-1979","70","0","$300,000","31 Mar 2008"
" 4/ 762","Beach Road","4/ 762 Beach Road","Browns Bay","Auckland","$530,000","$290,000","1970-1979","70","0","$367,000","3 Jan 2014"
" 5/ 762","Beach Road","5/ 762 Beach Road","Browns Bay","Auckland","$530,000","$380,000","1970-1979","70","0","$270,000","31 Aug 2009"
" 6/ 762","Beach Road","6/ 762 Beach Road","Browns Bay","Auckland","$530,000","$350,000","1970-1979","70","0","$145,000","1 Jan 1900"
" 7/ 762","Beach Road","7/ 762 Beach Road","Browns Bay","Auckland","$500,000","$400,000","1970-1979","70","0","$440,000","19 Jun 2015"
" 9/ 762","Beach Road","9/ 762 Beach Road","Browns Bay","Auckland","$550,000","$310,000","1970-1979","70","0","$528,000","26 Jan 2016"
" 1/ 764","Beach Road","1/ 764 Beach Road","Browns Bay","Auckland","$470,000","$350,000","1970-1979","50","0","$1,725,000","24 Nov 2005"
" 2/ 764","Beach Road","2/ 764 Beach Road","Browns Bay","Auckland","$520,000","$320,000","1970-1979","53","0","$125,000","1 Jan 1900"
" 3/ 764","Beach Road","3/ 764 Beach Road","Browns Bay","Auckland","$470,000","$320,000","1970-1979","50","0","$125,000","1 Jan 1900"
" 4/ 764","Beach Road","4/ 764 Beach Road","Browns Bay","Auckland","$470,000","$330,000","1970-1979","50","0","$127,000","1 Jan 1900"
" 5/ 764","Beach Road","5/ 764 Beach Road","Browns Bay","Auckland","$490,000","$370,000","1970-1979","50","0","$135,000","1 Jan 1900"
" 6/ 764","Beach Road","6/ 764 Beach Road","Browns Bay","Auckland","$470,000","$350,000","1970-1979","50","0","$130,000","1 Jan 1900"
" 7/ 764","Beach Road","7/ 764 Beach Road","Browns Bay","Auckland","$470,000","$350,000","1970-1979","50","0","$130,000","1 Jan 1900"
" 8/ 764","Beach Road","8/ 764 Beach Road","Browns Bay","Auckland","$490,000","$370,000","1970-1979","50","0","$135,000","1 Jan 1900"
" 1/ 765","Beach Road","1/ 765 Beach Road","Browns Bay","Auckland","$720,000","$460,000","1970-1979","130","0","$180,000","1 Jan 1900"
" 2/ 765","Beach Road","2/ 765 Beach Road","Browns Bay","Auckland","$670,000","$430,000","1970-1979","60","0","$484,000","22 Apr 2014"
" 3/ 765","Beach Road","3/ 765 Beach Road","Browns Bay","Auckland","$690,000","$440,000","1970-1979","80","0","$490,000","11 Mar 2014"
" 4/ 765","Beach Road","4/ 765 Beach Road","Browns Bay","Auckland","$710,000","$460,000","1970-1979","80","0","$175,000","28 Jun 2000"
" 1/ 766","Beach Road","1/ 766 Beach Road","Browns Bay","Auckland","$710,000","$520,000","1970-1979","100","0","$311,000","22 Mar 2005"
