sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 10","Cebalo Place","10 Cebalo Place","Mount Wellington","Auckland City","$900,000","$690,000","1990-1999","79","0.0952","$635,000","8 Jan 2016"
" 11","Cebalo Place","11 Cebalo Place","Mount Wellington","Auckland City","$900,000","$640,000","1990-1999","93","0.0906","$361,500","17 Sep 2010"
" 12","Cebalo Place","12 Cebalo Place","Mount Wellington","Auckland City","$840,000","$530,000","1990-1999","117","0.0942","$150,000","1 May 1995"
" 14","Cebalo Place","14 Cebalo Place","Mount Wellington","Auckland City","$870,000","$530,000","1990-1999","133","0.0876","$698,000","19 Sep 2015"
" 15","Cebalo Place","15 Cebalo Place","Mount Wellington","Auckland City","$920,000","$690,000","1990-1999","85","0.0939","$215,000","18 Jul 2002"
" 16","Cebalo Place","16 Cebalo Place","Mount Wellington","Auckland City","$1,030,000","$710,000","1990-1999","202","0.0897","$1,095,000","7 Dec 2016"
" 22","Cebalo Place","22 Cebalo Place","Mount Wellington","Auckland City","$960,000","$870,000","1980-1989","148","0.0872","$190,000","1 Jan 1900"
" 15","Charlotte Street","15 Charlotte Street","Mount Wellington","Auckland","$800,000","$420,000","1990-1999","180","0.0848","$205,000","16 May 1995"
" 7","Clare Place","7 Clare Place","Mount Wellington","Auckland City","$2,780,000","$950,000","1970-1979","336","0.0945","$1,250,000","3 Aug 2010"
" 13","Clare Place","13 Clare Place","Mount Wellington","Auckland City","$1,680,000","$950,000","1960-1969","240","0.085","$1,000,000","16 Sep 2013"
" 18","Commissariat Road","18 Commissariat Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","108","0.0928","$205,000","1 Jan 1900"
" 20","Commissariat Road","20 Commissariat Road","Mount Wellington","Auckland City","$1,150,000","$950,000","1950-1959","160","0.0928","$685,000","4 Jun 2007"
" 26","Commissariat Road","26 Commissariat Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","100","0.0941","$540,000","31 Mar 2007"
