sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"92","Weatherly Road","92 Weatherly Road","Torbay","Auckland","$970,000","$640,000","1970-1979","198","0.0677","$720,000","6 Jul 2014"
"93","Weatherly Road","93 Weatherly Road","Torbay","Auckland","$1,025,000","$740,000","1970-1979","150","0.0706","$305,000","7 May 2003"
"94","Weatherly Road","94 Weatherly Road","Torbay","Auckland","$820,000","$640,000","1970-1979","130","0.0678","$825,000","28 Mar 2017"
"95","Weatherly Road","95 Weatherly Road","Torbay","Auckland","$1,125,000","$760,000","1970-1979","160","0.1015","$450,000","26 Sep 2004"
"96","Weatherly Road","96 Weatherly Road","Torbay","Auckland","$1,000,000","$620,000","Mixed/Remod","150","0.0668","$247,500","11 Nov 2001"
"97","Weatherly Road","97 Weatherly Road","Torbay","Auckland","$1,050,000","$740,000","1970-1979","241","0.0981","$1,050,000","9 Dec 2016"
"98","Weatherly Road","98 Weatherly Road","Torbay","Auckland","$1,100,000","$640,000","1970-1979","170","0.0713","$885,000","17 Feb 2015"
"99","Weatherly Road","99 Weatherly Road","Torbay","Auckland","$1,025,000","$740,000","1970-1979","140","0.0649","$210,000","7 Jul 1994"
"101","Weatherly Road","101 Weatherly Road","Torbay","Auckland","$1,050,000","$740,000","1970-1979","240","0.066","$784,000","2 Jul 2014"
"102","Weatherly Road","102 Weatherly Road","Torbay","Auckland","$950,000","$600,000","1970-1979","130","0.0686","$245,000","29 Sep 2002"
"103","Weatherly Road","103 Weatherly Road","Torbay","Auckland","$1,075,000","$690,000","1970-1979","150","0.0653","$245,000","1 Jan 1900"
"104","Weatherly Road","104 Weatherly Road","Torbay","Auckland","$1,075,000","$600,000","1970-1979","200","0.0688","$260,000","10 Mar 2001"
"105","Weatherly Road","105 Weatherly Road","Torbay","Auckland","$1,100,000","$690,000","1970-1979","190","0.0655","$322,000","9 Dec 2002"
"106","Weatherly Road","106 Weatherly Road","Torbay","Auckland","$1,075,000","$600,000","1980-1989","230","0.0669","$740,000","20 May 2013"
"108","Weatherly Road","108 Weatherly Road","Torbay","Auckland","$910,000","$600,000","1980-1989","120","0.0675","$535,000","27 Jun 2012"
"110","Weatherly Road","110 Weatherly Road","Torbay","Auckland","$1,050,000","$640,000","1980-1989","175","0.0714","$425,000","27 Aug 2008"
"112","Weatherly Road","112 Weatherly Road","Torbay","Auckland","$920,000","$640,000","1980-1989","150","0.0639","$222,000","1 Feb 2002"
"114","Weatherly Road","114 Weatherly Road","Torbay","Auckland","$980,000","$570,000","Mixed/Remod","190","0.05","$902,000","27 Aug 2015"
"116","Weatherly Road","116 Weatherly Road","Torbay","Auckland","$1,025,000","$730,000","1980-1989","140","0.1047","$1,060,000","27 Oct 2016"
"117A","Weatherly Road","117A Weatherly Road","Torbay","Auckland","$910,000","$600,000","1980-1989","100","0.0681","$215,000","1 Jan 1900"
"118","Weatherly Road","118 Weatherly Road","Torbay","Auckland","$1,125,000","$640,000","1980-1989","100","0.0961","$260,000","1 Jan 1900"
"119","Weatherly Road","119 Weatherly Road","Torbay","Auckland","$850,000","$470,000","1970-1979","97","0.0537","$843,888","4 Apr 2017"
"119A","Weatherly Road","119A Weatherly Road","Torbay","Auckland","$1,075,000","$410,000","2010-2019","168","0.0559","$841,500","2 Sep 2014"
"120","Weatherly Road","120 Weatherly Road","Torbay","Auckland","$920,000","$660,000","1980-1989","130","0.0639","$225,000","1 Jan 1900"
"121","Weatherly Road","121 Weatherly Road","Torbay","Auckland","$950,000","$600,000","1970-1979","130","0.0692","$215,000","27 Jun 2000"
"122","Weatherly Road","122 Weatherly Road","Torbay","Auckland","$1,100,000","$690,000","1980-1989","190","0.0639","$263,000","30 Oct 1998"
